platform,group,target,text,data,bss,flash,ram
rpl-lite,Baseline,root-node,284077,7672,116568,291749,124240
rpl-lite,Baseline,sender-node,285083,7688,116664,292771,124352
rpl-lite,Baseline,receiver-node,284525,7672,116632,292197,124304
rpl-lite,Baseline,dis-sender,283743,7656,116536,291399,124192
rpl-lite,Hard-Only,root-node,284801,7704,116568,292505,124272
rpl-lite,Hard-Only,sender-node,285807,7720,116664,293527,124384
rpl-lite,Hard-Only,receiver-node,285249,7704,116632,292953,124336
rpl-lite,Hard-Only,dis-sender,284467,7688,116536,292155,124224
rpl-lite,Full,root-node,285146,7704,116568,292850,124272
rpl-lite,Full,sender-node,286152,7720,116664,293872,124384
rpl-lite,Full,receiver-node,285594,7704,116632,293298,124336
rpl-lite,Full,dis-sender,284812,7688,116536,292500,124224
rpl-classic,Baseline,root-node,295738,7752,133720,303490,141472
rpl-classic,Baseline,sender-node,296744,7736,133816,304480,141552
rpl-classic,Baseline,receiver-node,296563,7768,133784,304331,141552
rpl-classic,Baseline,dis-sender,295372,7704,133688,303076,141392
rpl-classic,Hard-Only,root-node,296528,7784,133720,304312,141504
rpl-classic,Hard-Only,sender-node,297534,7768,133816,305302,141584
rpl-classic,Hard-Only,receiver-node,297353,7800,133784,305153,141584
rpl-classic,Hard-Only,dis-sender,296162,7736,133688,303898,141424
rpl-classic,Full,root-node,296873,7784,133720,304657,141504
rpl-classic,Full,sender-node,297879,7768,133816,305647,141584
rpl-classic,Full,receiver-node,297698,7800,133784,305498,141584
rpl-classic,Full,dis-sender,296507,7736,133688,304243,141424
